code,date,BonusShares,Allotment,AllotmentPrice,Dividends
SH600000,20000706,0,0,0,0.15
SH600000,20020822,0.5,0,0,0.2
SH600000,20030623,0,0,0,0.1
SH600000,20040520,0,0,0,0.11
SH600000,20050512,0,0,0,0.12
SH600000,20060512,0.3,0,0,0
SH600000,20060525,0,0,0,0.13
SH600000,20070718,0,0,0,0.15
SH600000,20080424,0.3,0,0,0.16
SH600000,20090609,0.4,0,0,0.23
SH600000,20100610,0.3,0,0,0.15
SH600000,20110603,0.3,0,0,0.16
SH600000,20120626,0,0,0,0.3
SH600000,20130603,0,0,0,0.55
SH600000,20140624,0,0,0,0.66
SH600000,20150623,0,0,0,0.757
SH600000,20160623,0.1,0,0,0.515
SH600000,20170525,0.3,0,0,0.2
SH600000,20180713,0,0,0,0.1
SH600000,20190611,0,0,0,0.35
SH600004,20040713,0,0,0,0.1
SH600004,20050715,0,0,0,0.25
SH600004,20051220,0.19,0,0,0
SH600004,20060721,0,0,0,0.1
SH600004,20070823,0,0,0,0.15
SH600004,20080805,0,0,0,0.18
SH600004,20090806,0,0,0,0.17
SH600004,20100819,0,0,0,0.26
SH600004,20110817,0,0,0,0.3
SH600004,20120725,0,0,0,0.35
SH600004,20130726,0,0,0,0.33
SH600004,20140808,0,0,0,0.37
SH600004,20150612,0,0,0,0.29
SH600004,20160805,0,0,0,0.32
SH600004,20170714,0.45,0,0,0.37
SH600004,20180713,0,0,0,0.24
SH600004,20190809,0,0,0,0.17
SH600006,20000626,0,0,0,0.1
SH600006,20010613,0,0,0,0.2
SH600006,20011030,0,0,0,0.05
SH600006,20020522,0,0,0,0.2
SH600006,20030602,0,0,0,0.2
SH600006,20040611,1,0,0,0.2
SH600006,20050628,0,0,0,0.075
SH600006,20060620,0,0,0,0.08
SH600006,20061113,0.33,0,0,0
SH600006,20070719,0,0,0,0.12
SH600006,20080623,0,0,0,0.15
SH600006,20090622,0,0,0,0.09
SH600006,20100621,0,0,0,0.06
SH600006,20110621,0,0,0,0.12
SH600006,20120618,0,0,0,0.05
SH600006,20130617,0,0,0,0.0033
SH600006,20140620,0,0,0,0.0076
SH600006,20150724,0,0,0,0.0212
SH600006,20160630,0,0,0,0.052
SH600006,20170714,0,0,0,0.033
SH600006,20180619,0,0,0,0.0303
SH600006,20190620,0,0,0,0.0833
SH600007,19990629,0,0,0,0.104
SH600007,20000714,0,0,0,0.125
SH600007,20010717,0,0,0,0.104
SH600007,20020619,0,0,0,0.104
SH600007,20030612,0,0,0,0.104
SH600007,20040611,0,0,0,0.155
SH600007,20050616,0,0,0,0.195
SH600007,20060428,0.25,0,0,0
SH600007,20060616,0,0,0,0.2
SH600007,20070621,0,0,0,0.12
SH600007,20080526,0,0,0,0.15
SH600007,20090609,0,0,0,0.15
SH600007,20100531,0,0,0,0.14
SH600007,20110530,0,0,0,0.09
SH600007,20120530,0,0,0,0.13
SH600007,20130604,0,0,0,0.16
